Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date
ACCID301,460550,452640,-1.078503,53.966301,3,2,1,04/09/2009
ACCID302,459460,452890,-1.095067,53.968673,3,2,1,04/09/2009
ACCID303,459190,458380,-1.098117,54.018042,3,2,1,06/09/2009
ACCID304,461150,455010,-1.068883,53.987528,3,2,2,06/09/2009
ACCID305,466260,457910,-0.990332,54.01296,3,3,3,08/09/2009
ACCID306,459440,454670,-1.095025,53.984672,3,2,1,08/09/2009
ACCID307,460430,452400,-1.080379,53.964158,3,2,1,09/09/2009
ACCID308,460000,456070,-1.086211,53.997189,3,4,1,09/09/2009
ACCID309,460070,453510,-1.085648,53.974175,3,2,1,10/09/2009
ACCID310,457760,452380,-1.121075,53.964283,3,2,1,13/09/2009
ACCID311,460090,452160,-1.085608,53.96204,3,2,1,14/09/2009
ACCID312,462860,451280,-1.043576,53.953804,3,1,1,15/09/2009
ACCID313,460450,451750,-1.080203,53.958314,3,1,1,16/09/2009
ACCID314,461900,456030,-1.05724,53.996606,3,2,1,15/09/2009
ACCID315,465770,451070,-0.999283,53.951555,3,2,1,18/09/2009
ACCID316,468340,448350,-0.960736,53.926779,3,1,1,18/09/2009
ACCID317,461030,451810,-1.071353,53.958785,3,2,1,20/09/2009
ACCID318,460120,452090,-1.085165,53.961408,3,2,1,21/09/2009
ACCID319,454600,453560,-1.169026,53.97523,3,1,1,21/09/2009
ACCID320,459980,451740,-1.087367,53.958279,3,2,1,22/09/2009
ACCID321,457610,454880,-1.12289,53.986766,3,1,1,23/09/2009
ACCID322,459200,453180,-1.098974,53.971309,3,2,2,24/09/2009
ACCID323,462560,451650,-1.048071,53.957165,3,2,1,24/09/2009
ACCID324,460920,448190,-1.07375,53.926266,3,2,1,10/09/2009
ACCID325,460060,450930,-1.086307,53.95099,3,2,2,27/09/2009
ACCID326,462080,451270,-1.055462,53.953808,3,2,1,28/09/2009
ACCID327,460730,453630,-1.075563,53.975176,2,1,1,29/09/2009
ACCID328,459730,451430,-1.091237,53.955522,3,2,1,29/09/2009
ACCID329,458240,448670,-1.114467,53.930888,3,2,1,01/10/2009
ACCID330,457430,450580,-1.126443,53.948143,3,1,1,01/10/2009
ACCID331,457790,452370,-1.12062,53.964189,3,2,1,01/10/2009
ACCID332,467030,458470,-0.978461,54.017893,3,2,2,01/10/2009
ACCID333,464880,451570,-1.012737,53.956161,3,2,1,02/10/2009
ACCID334,460420,451310,-1.080747,53.954363,3,3,1,02/10/2009
ACCID335,459080,451240,-1.101178,53.953889,1,3,1,03/10/2009
ACCID336,461060,452270,-1.070804,53.962916,3,1,2,04/10/2009
ACCID337,458250,448710,-1.114307,53.931246,2,2,1,05/10/2009
ACCID338,455660,447320,-1.154002,53.919038,3,1,1,05/10/2009
ACCID339,459300,455540,-1.096991,53.992507,3,2,1,06/10/2009
ACCID340,460740,451020,-1.075929,53.95172,3,1,1,05/10/2009
ACCID341,460050,453510,-1.085952,53.974177,3,2,1,06/10/2009
ACCID342,460200,452410,-1.083883,53.964274,3,1,1,07/10/2009
ACCID343,461070,451080,-1.070889,53.95222,3,2,1,06/10/2009
ACCID344,463160,451300,-1.039001,53.953947,3,2,2,16/07/2009
ACCID345,458580,452550,-1.108546,53.965718,3,2,1,08/10/2009
ACCID346,457240,450850,-1.129287,53.95059,3,2,1,08/10/2009
ACCID347,461330,448160,-1.067513,53.925948,3,2,3,08/10/2009
ACCID348,457830,450070,-1.120446,53.943515,3,2,1,09/10/2009
ACCID349,461090,452620,-1.070277,53.966057,3,2,1,09/10/2009
ACCID350,460200,453480,-1.083672,53.97389,3,1,1,09/10/2009
ACCID351,460860,456510,-1.073006,54.001043,3,3,1,10/10/2009
ACCID352,460460,451750,-1.080051,53.958313,3,1,1,10/10/2009
ACCID353,456180,447140,-1.146118,53.917365,3,2,3,10/10/2009
ACCID354,461420,448070,-1.066161,53.925129,3,4,1,10/10/2009
ACCID355,464170,455380,-1.022754,53.990488,2,2,3,10/10/2009
ACCID356,464160,455270,-1.02293,53.989501,2,1,1,11/10/2009
ACCID357,459550,450040,-1.094251,53.943051,3,2,1,10/10/2009
ACCID358,461020,455070,-1.070854,53.988083,2,1,1,11/10/2009
ACCID359,457430,451390,-1.126291,53.955422,3,2,1,13/10/2009
ACCID360,460950,454930,-1.071949,53.986833,3,2,1,14/10/2009
ACCID361,461850,452480,-1.058722,53.964709,3,2,1,15/10/2009
ACCID362,460210,451650,-1.08388,53.957443,3,1,1,16/10/2009
ACCID363,460310,451690,-1.082348,53.957791,3,1,1,17/10/2009
ACCID364,464160,455000,-1.022987,53.987074,3,2,1,17/10/2009
ACCID365,457630,451450,-1.123232,53.955939,2,1,1,17/10/2009
ACCID366,456590,453800,-1.138644,53.977173,3,3,6,18/10/2009
ACCID367,460180,451080,-1.084449,53.952324,1,1,1,19/10/2009
ACCID368,459400,452930,-1.095974,53.96904,2,2,1,19/10/2009
ACCID369,456830,456040,-1.134568,53.997277,3,2,2,20/10/2009
ACCID370,466760,452770,-0.983829,53.966706,3,1,1,22/10/2009
ACCID371,458760,449730,-1.106344,53.940355,3,2,1,24/10/2009
ACCID372,460750,451350,-1.075711,53.954684,3,2,1,25/10/2009
ACCID373,456570,453770,-1.138954,53.976906,3,2,3,26/10/2009
ACCID374,458870,450980,-1.104428,53.951576,3,1,1,26/10/2009
ACCID375,460930,454930,-1.072254,53.986835,3,2,1,29/10/2009
ACCID376,459690,452630,-1.091612,53.96631,3,2,1,30/10/2009
ACCID377,459610,452710,-1.092816,53.967039,3,3,2,31/10/2009
ACCID378,458790,455550,-1.104767,53.992655,2,4,2,02/11/2009
ACCID379,460480,451360,-1.079823,53.954806,3,2,1,02/11/2009
ACCID380,456860,452100,-1.134844,53.961866,2,1,1,03/10/2009
ACCID381,457120,456270,-1.130101,53.999312,3,2,1,03/11/2009
ACCID382,460040,451630,-1.086474,53.957283,3,1,1,03/11/2009
ACCID383,464980,451720,-1.011181,53.957496,3,2,1,04/11/2009
ACCID384,458750,455300,-1.105425,53.990413,3,2,1,04/11/2009
ACCID385,464860,451570,-1.013041,53.956163,3,2,1,05/11/2009
ACCID386,459840,453700,-1.089116,53.975909,3,2,1,06/11/2009
ACCID387,461180,448450,-1.069739,53.928572,2,2,3,06/11/2009
ACCID388,462410,458160,-1.049025,54.015686,3,4,3,06/11/2009
ACCID389,460470,451350,-1.079977,53.954717,3,2,1,07/11/2009
ACCID390,460580,456370,-1.077305,53.999817,3,3,2,08/11/2009
ACCID391,459760,452560,-1.090559,53.965673,3,2,1,10/11/2009
ACCID392,457610,452120,-1.123411,53.961963,3,2,1,10/11/2009
ACCID393,459140,451230,-1.100266,53.953792,3,2,1,13/10/2009
ACCID394,458230,452030,-1.113979,53.961085,3,1,1,10/11/2009
ACCID395,460110,452250,-1.085286,53.962847,3,1,1,11/11/2009
ACCID396,459660,452650,-1.092066,53.966494,3,2,1,11/11/2009
ACCID397,459450,453190,-1.095161,53.971371,3,2,1,12/11/2009
ACCID398,459660,455030,-1.0916,53.987882,3,1,1,12/11/2009
ACCID399,461850,452480,-1.058722,53.964709,3,2,1,12/11/2009
ACCID400,460890,456510,-1.072549,54.001039,3,2,1,13/11/2009
ACCID401,459320,453620,-1.097059,53.97525,2,2,1,13/11/2009
ACCID402,457770,450890,-1.121205,53.950891,2,2,1,13/11/2009
ACCID403,458500,449770,-1.110297,53.940744,3,2,1,16/11/2009
ACCID404,457060,452230,-1.131772,53.963012,3,2,1,16/11/2009
ACCID405,460870,450690,-1.074014,53.948739,3,2,1,16/11/2009
ACCID406,460860,453510,-1.073605,53.974083,3,2,1,17/11/2009
ACCID407,457840,451480,-1.120027,53.956185,3,1,1,17/11/2009
ACCID408,456880,452240,-1.134513,53.963122,3,2,1,17/11/2009
ACCID409,460510,458260,-1.077997,54.01681,3,1,1,18/11/2009
ACCID410,463090,462170,-1.037817,54.051639,3,2,1,20/11/2009
ACCID411,457070,447710,-1.132463,53.92239,3,3,1,20/11/2009
ACCID412,460440,451740,-1.080357,53.958225,3,1,1,21/11/2009
ACCID413,460460,451350,-1.08013,53.954718,3,1,1,22/11/2009
ACCID414,460870,448200,-1.074509,53.926362,3,2,1,22/11/2009
ACCID415,459190,453170,-1.099128,53.971221,3,2,1,24/11/2009
ACCID416,460480,451360,-1.079823,53.954806,3,2,1,25/11/2009
ACCID417,460330,453010,-1.081783,53.969651,3,2,2,25/11/2009
ACCID418,457280,450790,-1.128689,53.950047,3,2,1,25/11/2009
ACCID419,460990,451460,-1.072032,53.955645,3,2,1,25/11/2009
ACCID420,460050,452310,-1.086188,53.963393,3,2,1,26/11/2009
ACCID421,461310,452500,-1.066948,53.964953,3,2,1,27/11/2009
ACCID422,462910,451280,-1.042814,53.953797,2,1,1,27/11/2009
ACCID423,461050,453950,-1.07062,53.978014,3,2,1,27/11/2009
ACCID424,459790,452530,-1.090108,53.9654,3,2,1,27/11/2009
ACCID425,462350,454040,-1.050783,53.978668,3,1,1,29/11/2009
ACCID426,461040,453400,-1.070883,53.973073,3,1,1,29/11/2009
ACCID427,460220,451810,-1.083696,53.95888,3,1,1,29/11/2009
ACCID428,459660,451510,-1.092288,53.956249,3,2,1,28/11/2009
ACCID429,459190,458390,-1.098115,54.018131,3,2,1,29/11/2009
ACCID430,467080,449340,-0.979704,53.935841,3,2,1,30/11/2009
ACCID431,460180,451070,-1.084451,53.952234,3,2,1,01/12/2009
ACCID432,458830,455570,-1.104153,53.99283,3,3,2,01/12/2009
ACCID433,459990,450940,-1.087372,53.951088,3,2,1,02/12/2009
ACCID434,459300,450910,-1.09789,53.950898,3,2,2,02/12/2009
ACCID435,458500,455270,-1.109244,53.990171,3,1,1,02/12/2009
